iter	Passed	Remaining
400	13852	20692
401	13886	20656
402	13921	20622
403	13955	20587
404	13987	20549
405	14019	20512
406	14051	20473
407	14081	20432
408	14110	20389
409	14140	20347
410	14168	20304
411	14196	20261
412	14225	20218
413	14256	20178
414	14285	20137
415	14316	20097
416	14348	20060
417	14385	20030
418	14419	19994
419	14452	19957
420	14486	19923
421	14520	19888
422	14555	19855
423	14592	19823
424	14629	19793
425	14664	19758
426	14697	19723
427	14729	19685
428	14762	19648
429	14791	19607
430	14820	19566
431	14849	19524
432	14879	19484
433	14907	19442
434	14938	19402
435	14967	19361
436	14996	19320
437	15026	19280
438	15054	19238
439	15085	19200
440	15113	19157
441	15142	19116
442	15169	19073
443	15197	19031
444	15226	18989
445	15254	18948
446	15282	18906
447	15310	18864
448	15338	18823
449	15366	18781
450	15393	18738
451	15421	18697
452	15449	18655
453	15478	18615
454	15506	18573
455	15535	18533
456	15564	18493
457	15592	18452
458	15623	18414
459	15656	18379
460	15694	18349
461	15730	18317
462	15762	18281
463	15797	18249
464	15833	18216
465	15868	18184
466	15903	18150
467	15936	18115
468	15969	18080
469	16001	18044
470	16033	18008
471	16063	17969
472	16092	17929
473	16122	17891
474	16154	17854
475	16182	17814
476	16211	17775
477	16242	17737
478	16272	17699
479	16301	17659
480	16335	17626
481	16372	17595
482	16407	17562
483	16441	17529
484	16476	17495
485	16510	17461
486	16546	17429
487	16581	17397
488	16616	17364
489	16651	17330
490	16685	17297
491	16718	17261
492	16751	17226
493	16783	17190
494	16814	17154
495	16845	17117
496	16876	17079
497	16910	17046
498	16945	17013
499	16983	16983
500	17014	16946
501	17048	16912
502	17084	16881
503	17119	16847
504	17153	16813
505	17186	16779
506	17220	16744
507	17250	16707
508	17280	16669
509	17310	16631
510	17339	16592
511	17369	16555
512	17398	16516
513	17426	16477
514	17455	16438
515	17485	16401
516	17517	16365
517	17547	16327
518	17575	16288
519	17606	16252
520	17642	16220
521	17679	16189
522	17713	16155
523	17750	16124
524	17784	16090
525	17818	16056
526	17852	16023
527	17887	15990
528	17922	15957
529	17957	15924
530	17991	15891
531	18026	15857
532	18060	15824
533	18094	15790
534	18129	15757
535	18163	15723
536	18198	15691
537	18233	15657
538	18270	15626
539	18302	15591
540	18334	15555
541	18368	15521
542	18399	15485
543	18431	15450
544	18462	15413
545	18496	15379
546	18528	15344
547	18557	15306
548	18587	15269
549	18617	15232
550	18648	15196
551	18682	15162
552	18712	15125
553	18744	15090
554	18775	15054
555	18804	15016
556	18838	14982
557	18868	14945
558	18903	14913
559	18939	14880
560	18978	14850
561	19023	14825
562	19066	14799
563	19097	14762
564	19127	14726
565	19157	14689
566	19187	14653
567	19218	14617
568	19249	14581
569	19279	14544
570	19311	14508
571	19340	14471
572	19368	14433
573	19397	14396
574	19426	14358
575	19454	14320
576	19482	14282
577	19511	14245
578	19540	14208
579	19569	14170
580	19598	14133
581	19627	14096
582	19655	14058
583	19683	14020
584	19711	13983
585	19739	13945
586	19768	13908
587	19796	13871
588	19825	13834
589	19854	13796
590	19882	13759
591	19910	13722
592	19939	13685
593	19967	13648
594	19996	13610
595	20024	13573
596	20053	13536
597	20081	13499
598	20110	13462
599	20137	13425
600	20165	13387
601	20193	13350
602	20221	13313
603	20249	13276
604	20278	13239
605	20306	13202
606	20333	13165
607	20361	13127
608	20390	13091
609	20418	13054
610	20445	13017
611	20473	12979
612	20500	12942
613	20528	12905
614	20556	12868
615	20583	12831
616	20612	12794
617	20639	12757
618	20666	12720
619	20693	12683
620	20721	12646
621	20749	12609
622	20778	12573
623	20806	12536
624	20833	12500
625	20861	12463
626	20888	12426
627	20916	12389
628	20945	12354
629	20975	12319
630	21005	12283
631	21036	12249
632	21072	12217
633	21108	12185
634	21144	12153
635	21180	12122
636	21215	12089
637	21249	12056
638	21284	12024
639	21318	11991
640	21353	11959
641	21388	11926
642	21423	11894
643	21458	11862
644	21493	11829
645	21527	11797
646	21562	11764
647	21597	11731
648	21631	11699
649	21665	11666
650	21700	11633
651	21734	11600
652	21769	11568
653	21804	11535
654	21840	11503
655	21877	11472
656	21917	11442
657	21951	11409
658	21985	11376
659	22018	11343
660	22051	11309
661	22084	11275
662	22118	11242
663	22149	11208
664	22182	11174
665	22211	11139
666	22244	11105
667	22276	11071
668	22306	11036
669	22337	11002
670	22367	10967
671	22397	10932
672	22430	10898
673	22460	10863
674	22490	10828
675	22519	10793
676	22550	10759
677	22580	10724
678	22612	10690
679	22652	10660
680	22688	10627
681	22720	10593
682	22750	10559
683	22782	10525
684	22811	10490
685	22842	10455
686	22872	10420
687	22902	10386
688	22933	10351
689	22967	10318
690	23004	10287
691	23042	10255
692	23079	10224
693	23113	10191
694	23147	10158
695	23182	10125
696	23217	10093
697	23251	10060
698	23287	10027
699	23321	9995
700	23358	9963
701	23394	9930
702	23429	9898
703	23463	9865
704	23498	9832
705	23532	9799
706	23565	9766
707	23600	9733
708	23633	9699
709	23663	9665
710	23694	9631
711	23726	9597
712	23760	9563
713	23789	9529
714	23821	9495
715	23859	9463
716	23894	9431
717	23926	9397
718	23961	9364
719	23996	9331
720	24030	9299
721	24066	9266
722	24100	9233
723	24132	9199
724	24164	9165
725	24197	9132
726	24227	9097
727	24259	9063
728	24290	9029
729	24318	8994
730	24349	8960
731	24379	8925
732	24410	8891
733	24446	8859
734	24480	8826
735	24514	8793
736	24550	8760
737	24584	8727
738	24619	8695
739	24655	8662
740	24690	8629
741	24724	8596
742	24759	8564
743	24793	8530
744	24827	8497
745	24861	8464
746	24896	8432
747	24931	8399
748	24967	8366
749	25002	8334
750	25032	8299
751	25068	8267
752	25103	8234
753	25136	8201
754	25171	8168
755	25205	8135
756	25239	8102
757	25275	8069
758	25309	8036
759	25344	8003
760	25378	7970
761	25412	7937
762	25447	7904
763	25482	7871
764	25516	7838
765	25552	7805
766	25587	7772
767	25622	7739
768	25656	7706
769	25691	7674
770	25721	7639
771	25750	7605
772	25780	7570
773	25809	7536
774	25838	7501
775	25870	7467
776	25904	7434
777	25934	7400
778	25964	7365
779	25993	7331
780	26022	7296
781	26050	7262
782	26079	7227
783	26108	7193
784	26137	7158
785	26165	7124
786	26194	7089
787	26223	7055
788	26251	7020
789	26281	6986
790	26309	6951
791	26338	6917
792	26366	6882
793	26394	6847
794	26423	6813
795	26452	6779
796	26481	6745
797	26510	6710
798	26540	6676
799	26569	6642
800	26601	6608
801	26631	6574
802	26662	6541
803	26695	6507
804	26725	6473
805	26756	6440
806	26785	6406
807	26814	6371
808	26844	6337
809	26874	6303
810	26904	6269
811	26932	6235
812	26960	6201
813	26988	6166
814	27015	6132
815	27043	6097
816	27071	6063
817	27099	6029
818	27126	5995
819	27154	5960
820	27182	5926
821	27210	5892
822	27238	5858
823	27266	5823
824	27294	5789
825	27324	5756
826	27356	5722
827	27386	5689
828	27416	5655
829	27445	5621
830	27475	5587
831	27504	5553
832	27533	5519
833	27560	5485
834	27589	5451
835	27617	5417
836	27646	5384
837	27675	5350
838	27707	5316
839	27740	5283
840	27773	5250
841	27805	5217
842	27837	5184
843	27865	5150
844	27892	5116
845	27923	5083
846	27959	5050
847	27992	5017
848	28020	4983
849	28048	4949
850	28075	4915
851	28103	4881
852	28131	4847
853	28158	4813
854	28186	4780
855	28214	4746
856	28241	4712
857	28269	4678
858	28297	4644
859	28325	4611
860	28352	4577
861	28381	4543
862	28409	4509
863	28436	4476
864	28464	4442
865	28493	4408
866	28522	4375
867	28551	4341
868	28579	4308
869	28608	4274
870	28638	4241
871	28668	4208
872	28699	4175
873	28728	4141
874	28756	4108
875	28785	4074
876	28814	4041
877	28841	4007
878	28869	3974
879	28901	3941
880	28929	3907
881	28958	3874
882	28990	3841
883	29023	3808
884	29055	3775
885	29087	3742
886	29119	3709
887	29150	3676
888	29178	3643
889	29206	3609
890	29234	3576
891	29262	3542
892	29289	3509
893	29317	3476
894	29346	3442
895	29375	3409
896	29402	3376
897	29430	3342
898	29457	3309
899	29486	3276
900	29513	3242
901	29542	3209
902	29570	3176
903	29598	3143
904	29627	3110
905	29655	3076
906	29685	3043
907	29714	3010
908	29744	2977
909	29776	2944
910	29808	2912
911	29837	2879
912	29864	2845
913	29892	2812
914	29920	2779
915	29948	2746
916	29977	2713
917	30007	2680
918	30036	2647
919	30064	2614
920	30093	2581
921	30129	2548
922	30168	2516
923	30202	2484
924	30239	2451
925	30276	2419
926	30313	2387
927	30350	2354
928	30385	2322
929	30421	2289
930	30458	2257
931	30493	2224
932	30529	2192
933	30565	2159
934	30601	2127
935	30638	2094
936	30674	2062
937	30709	2029
938	30745	1997
939	30784	1964
940	30821	1932
941	30858	1900
942	30895	1867
943	30931	1834
944	30967	1802
945	31003	1769
946	31041	1737
947	31080	1704
948	31117	1672
